pert_id,drug_name,smiles,canonical_smiles,scaffold,dili_binary,dili_severity,in_lincs,in_pdg
1,mercaptopurine,S=C1N=CNC2=C1NC=N2,S=c1nc[nH]c2nc[nH]c12,S=c1nc[nH]c2nc[nH]c12,1,vMost-DILI-concern,True,True
2,acetaminophen,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,c1ccccc1,1,vMost-DILI-concern,False,False
3,azathioprine,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1,1,vMost-DILI-concern,True,True
4,chlorpheniramine,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,c1ccc(Cc2ccccn2)cc1,0,vNo-DILI-concern,False,False
5,clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,c1ccccc1,1,vLess-DILI-concern,True,True
6,cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,O=P1(N(CCCl)CCCl)NCCCO1,O=[PH]1NCCCO1,1,vLess-DILI-concern,False,True
7,dopamine,NCCC1=CC(O)=C(O)C=C1,NCCc1ccc(O)c(O)c1,c1ccccc1,0,vNo-DILI-concern,True,True
8,estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,c1ccc2c(c1)CCC1C2CCC2CCCC21,1,vLess-DILI-concern,True,True
9,fluoxetine,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,c1ccc(COc2ccccc2)cc1,1,vLess-DILI-concern,True,True
10,gemfibrozil,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,c1ccccc1,1,vMost-DILI-concern,True,True
11,indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,O=C(c1ccccc1)n1ccc2ccccc21,1,vMost-DILI-concern,False,True
12,ketoprofen,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,O=C(c1ccccc1)c1ccccc1,1,vLess-DILI-concern,True,True
13,mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,,0,vNo-DILI-concern,False,False
14,methotrexate,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,1,vMost-DILI-concern,False,True
15,phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,O=C1NC(=O)C(c2ccccc2)C(=O)N1,1,vLess-DILI-concern,False,False
16,phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1,vMost-DILI-concern,True,True
17,rifampin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,1,vMost-DILI-concern,False,True
18,tetracycline,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,1,vLess-DILI-concern,False,True
19,abacavir,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,1,vMOST-DILI-concern,True,True
20,aciclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,O=c1nc[nH]c2[nH]cnc12,1,,False,False
21,allopurinol,OC1=NC=NC2=C1C=NN2,Oc1ncnc2[nH]ncc12,c1ncc2cn[nH]c2n1,1,vMost-DILI-concern,True,True
22,amineptine,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,c1ccc2c(c1)CCc1ccccc1C2,1,vMost-DILI-concern,True,True
23,amiodarone,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,O=C(c1ccccc1)c1coc2ccccc12,1,vMost-DILI-concern,True,True
24,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CN(C)CCC=C1c2ccccc2CCc2ccccc21,C=C1c2ccccc2CCc2ccccc21,1,vLess-DILI-concern,True,True
25,amphotericin b,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCCCCO1)O2,1,vLess-DILI-concern,False,False
26,ampicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,1,vLess-DILI-concern,False,True
27,donepezil,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,1,vLess-DILI-concern,True,True
28,aspirin,CC(=O)OC1=CC=CC=C1C(O)=O,CC(=O)Oc1ccccc1C(=O)O,c1ccccc1,1,vLess-DILI-concern,True,True
29,aminohippurate,NC1=CC=C(C=C1)C(=O)NCC(O)=O,Nc1ccc(C(=O)NCC(=O)O)cc1,c1ccccc1,0,vNo-DILI-concern,False,False
30,bicalutamide,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,1,vMost-DILI-concern,True,True
31,bupropion,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,c1ccccc1,1,vLess-DILI-concern,True,True
32,captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,C1CCNC1,1,vLess-DILI-concern,False,True
33,carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,NC(=O)N1c2ccccc2C=Cc2ccccc21,C1=Cc2ccccc2Nc2ccccc21,1,vMost-DILI-concern,True,True
34,carboplatin,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H],N->[Pt]1(<-N)OC(=O)C2(CCC2)C(=O)O1,O=C1O[Pt]OC(=O)C12CCC2,1,vLess-DILI-concern,False,True
35,ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1cscn1,1,vLess-DILI-concern,False,True
36,chlorcyclizine,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,1,vLess-DILI-concern,False,True
37,chlorzoxazone,ClC1=CC2=C(OC(=O)N2)C=C1,O=c1[nH]c2cc(Cl)ccc2o1,O=c1[nH]c2ccccc2o1,1,vMost-DILI-concern,False,True
38,chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,c1ccc2c(c1)Nc1ccccc1S2,1,vLess-DILI-concern,True,True
39,cisplatin,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],N->[Pt](<-N)(Cl)Cl,,1,vLess-DILI-concern,False,True
40,dimercaprol,OCC(S)CS,OCC(S)CS,,0,vNo-DILI-concern,False,True
41,colchicine,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,O=c1cccc2c(c1)CCCc1ccccc1-2,0,Ambiguous-DILI-concern,True,True
