DILIST_ID,drug_name,reason
42,corticotropin,name_not_in_drugbank_index
181,dextrose,name_not_in_drugbank_index
182,cholestyramine,name_not_in_drugbank_index
183,sodium lactate,name_not_in_drugbank_index
189,secretin,name_not_in_drugbank_index
213,sodium thiosulfate,name_not_in_drugbank_index
225,nesiritide,name_not_in_drugbank_index
227,gemtuzumab ozogamicin,name_not_in_drugbank_index
229,gamma hydroxybutyric acid,name_not_in_drugbank_index
248,exenatide,name_not_in_drugbank_index
258,ibufenac,name_not_in_drugbank_index
281,neomycin,name_not_in_drugbank_index
319,pancrelipase,name_not_in_drugbank_index
321,ecallantide,name_not_in_drugbank_index
322,divalproex sodium,name_not_in_drugbank_index
329,clomacran,name_not_in_drugbank_index
330,dermatan,name_not_in_drugbank_index
331,isaxonine,name_not_in_drugbank_index
332,pipamazine,name_not_in_drugbank_index
334,sulfacarbamide,name_not_in_drugbank_index
335,triacetyldiphenolisatin,name_not_in_drugbank_index
336,fiduxosin ,name_not_in_drugbank_index
344,hyaluronidase,name_not_in_drugbank_index
346,protamine sulfate,name_not_in_drugbank_index
354,thyrotropin alfa,name_not_in_drugbank_index
367,Sodium polystyrene sulfonate,name_not_in_drugbank_index
378,oxytocin,name_not_in_drugbank_index
382,glycopyrrolate,name_not_in_drugbank_index
395,calcitonin salmon,name_not_in_drugbank_index
398,colestipol,name_not_in_drugbank_index
400,somatropin recombinant,name_not_in_drugbank_index
408,atracurium,name_not_in_drugbank_index
414,rubidium chloride rb-82,name_not_in_drugbank_index
415,urofollitropin,name_not_in_drugbank_index
416,teriparatide,name_not_in_drugbank_index
419,pegademase bovine,name_not_in_drugbank_index
424,enoxaparin,name_not_in_drugbank_index
427,dalteparin sodium,name_not_in_drugbank_index
428,ferumoxsil,name_not_in_drugbank_index
429,ferumoxides,name_not_in_drugbank_index
430,porfimer,name_not_in_drugbank_index
443,polyethylene glycol 3350,name_not_in_drugbank_index
446,eptifibatide,name_not_in_drugbank_index
480,alpidem,name_not_in_drugbank_index
489,colesevelam,name_not_in_drugbank_index
506,benzarone,name_not_in_drugbank_index
539,enfuvirtide,name_not_in_drugbank_index
583,clometacin,name_not_in_drugbank_index
584,urokinase,name_not_in_drugbank_index
609,benzylpenicilloyl polylysine,name_not_in_drugbank_index
619,asparaginase,name_not_in_drugbank_index
620,botulinum toxin type a,name_not_in_drugbank_index
621,interferon alfa-2b,name_not_in_drugbank_index
624,"interferon alfa-2a, recombinant",name_not_in_drugbank_index
627,alteplase,name_not_in_drugbank_index
628,epoetin alfa,name_not_in_drugbank_index
631,sargramostim,name_not_in_drugbank_index
632,pegaspargase,name_not_in_drugbank_index
634,muromonab-cd3,name_not_in_drugbank_index
635,interferon beta-1b,name_not_in_drugbank_index
