DILIST_ID,drug_name,name_lower,smiles,canonical_smiles,source
1,mercaptopurine,mercaptopurine,S=C1N=CNC2=C1NC=N2,S=c1nc[nH]c2nc[nH]c12,drugbank
2,acetaminophen,acetaminophen,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,drugbank
3,azathioprine,azathioprine,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,drugbank
4,chlorpheniramine,chlorpheniramine,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,drugbank
5,clofibrate,clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,drugbank
6,cyclophosphamide,cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,O=P1(N(CCCl)CCCl)NCCCO1,drugbank
7,dopamine,dopamine,NCCC1=CC(O)=C(O)C=C1,NCCc1ccc(O)c(O)c1,drugbank
8,estradiol,estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,drugbank
9,fluoxetine,fluoxetine,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,drugbank
10,gemfibrozil,gemfibrozil,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,drugbank
11,indomethacin,indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,drugbank
