split,variant,resample,profile_auroc,drug_auroc
test,structure,0,0.9943650728672017,0.9848675914249684
test,structure,1,0.9974844440805634,0.9937263556116016
test,structure,2,0.9953352710004912,0.9868694829760405
test,measured,0,0.751244473554937,0.6005989911727617
test,measured,1,0.7709349926314066,0.6040037831021438
test,measured,2,0.7689864090388079,0.5889974779319042
test,dist_shift,0,0.5977239233666285,0.4757881462799496
test,dist_shift,1,0.5590838382184378,0.4742433795712484
test,dist_shift,2,0.5365195677091862,0.4634615384615385
drug,structure,0,0.4831061410418879,0.5097222222222222
drug,structure,1,0.5633368592141585,0.604978354978355
drug,structure,2,0.5561334014822388,0.6006981740064447
drug,structure,3,0.24883049435110363,0.5943775100401606
drug,structure,4,0.6007120861137679,0.6413237924865832
drug,structure,5,0.36900165471594043,0.508888888888889
drug,structure,6,0.4649571789680194,0.5342312008978675
drug,structure,7,0.6071717008560814,0.5384394721744119
drug,structure,8,0.7004375408385236,0.5961298377028716
drug,structure,9,0.4579449344142364,0.6165772212283841
drug,measured,0,0.46915779018392306,0.41694444444444445
drug,measured,1,0.539679058847811,0.4412878787878788
drug,measured,2,0.49632634807053416,0.4419978517722879
drug,measured,3,0.7093444179601962,0.4437751004016064
drug,measured,4,0.3840897405419152,0.44126416219439474
drug,measured,5,0.37518208946780374,0.4333333333333333
drug,measured,6,0.4702202044845756,0.5151515151515151
drug,measured,7,0.544930813546546,0.53184165232358
drug,measured,8,0.44161021645451315,0.4775280898876405
drug,measured,9,0.31178276116199777,0.5008944543828264
drug,dist_shift,0,0.4018906051991643,0.39111111111111113
drug,dist_shift,1,0.5476574391785557,0.604978354978355
drug,dist_shift,2,0.4840148223869154,0.5212137486573577
drug,dist_shift,3,0.252064802433967,0.5091795754446357
drug,dist_shift,4,0.4332281052870183,0.43112701252236135
drug,dist_shift,5,0.5308880308880309,0.4644444444444445
drug,dist_shift,6,0.45531773079970317,0.40740740740740733
drug,dist_shift,7,0.45759974156032945,0.4495123350545037
drug,dist_shift,8,0.4043241276064283,0.43196004993757803
drug,dist_shift,9,0.3898013395207205,0.4570661896243291
scaffold,structure,0,0.568946696325589,0.4440227703984819
scaffold,structure,1,0.6413925691560652,0.5702411994784876
scaffold,structure,2,0.5770164759177184,0.5859728506787331
scaffold,structure,3,0.587312876786561,0.6391625615763548
scaffold,structure,4,0.5599647266313933,0.5694736842105264
scaffold,structure,5,0.5491159368695859,0.65936329588015
scaffold,structure,6,0.18749843268462976,0.6472491909385113
scaffold,structure,7,0.5851870719420389,0.6434782608695652
scaffold,structure,8,0.2866525930691963,0.5478777343184122
scaffold,structure,9,0.39705351339640355,0.5201450443190975
scaffold,measured,0,0.543273191629593,0.5673624288425048
scaffold,measured,1,0.44941774877507523,0.49266623207301175
scaffold,measured,2,0.4068234038614411,0.4396681749622926
scaffold,measured,3,0.5188590846485583,0.47235905856595506
scaffold,measured,4,0.47465311919589204,0.5035087719298246
scaffold,measured,5,0.5636762786282188,0.5187265917602997
scaffold,measured,6,0.5961302158605716,0.5254486613709914
scaffold,measured,7,0.5207024395766118,0.5416149068322982
scaffold,measured,8,0.7043810718976491,0.4837027379400261
scaffold,measured,9,0.4578288116960754,0.4609186140209508
scaffold,dist_shift,0,0.5347359532048113,0.47020872865275143
scaffold,dist_shift,1,0.6304671192846,0.5404172099087353
scaffold,dist_shift,2,0.5126700133941697,0.6138763197586726
scaffold,dist_shift,3,0.48443180022127386,0.4819376026272578
scaffold,dist_shift,4,0.43082673908632607,0.4729824561403509
scaffold,dist_shift,5,0.44847513943277556,0.5157303370786517
scaffold,dist_shift,6,0.708946566094514,0.44027655192703735
scaffold,dist_shift,7,0.48693892568064756,0.47246376811594204
scaffold,dist_shift,8,0.34398991805763085,0.510212950890917
scaffold,dist_shift,9,0.5184115291719827,0.49798549556809024
