split,variant,n,auroc,auroc_sd,seeds
test,structure,5141,0.9957282626494187,0.0013034444160972072,3
test,measured,5141,0.7637219584083837,0.008858704408859996,3
test,frozen_pred,5141,0.8657783417935704,0.07656051930189028,3
test,tuned_E,5141,0.9739383767261612,0.0023234542009968368,3
test,tuned_F,5141,0.9463539108127286,0.0033110460386488855,3
test,both,5141,0.9804827793242726,0.00048370323625071754,3
drug,structure,5141,0.46671747757922216,0.043446510085664185,3
drug,measured,5141,0.5867312139736883,0.054748132767222846,3
drug,frozen_pred,5141,0.6220636738457569,0.03094520275269594,3
drug,tuned_E,5141,0.6120280163229396,0.0502017314559898,3
drug,tuned_F,5141,0.6490779484869346,0.03479063297276278,3
drug,both,5141,0.4646094327471837,0.07024261620053888,3
scaffold,structure,5141,0.36767141148590987,0.024015750018695988,3
scaffold,measured,5141,0.572800511387249,0.03087951330236947,3
scaffold,frozen_pred,5141,0.6029412697758081,0.08771373737834705,3
scaffold,tuned_E,5141,0.6927713678128465,0.02647455526525468,3
scaffold,tuned_F,5141,0.6506722796598788,0.05460413820420409,3
scaffold,both,5141,0.45521279779371726,0.08607540290398928,3
