split,variant,resample,profile_auroc,drug_auroc
drug,structure,0,0.34452348579884773,0.45454545454545453
drug,structure,1,0.5552845879373849,0.42334494773519166
drug,structure,2,0.4546229254193856,0.5037746806039489
drug,structure,3,0.4129427740058196,0.5213243546576879
drug,structure,4,0.34161785551900287,0.4854266030736619
drug,measured,0,0.5047662687890146,0.5238496071829405
drug,measured,1,0.4566715584714549,0.5281649245063879
drug,measured,2,0.5628080212151009,0.5955284552845529
drug,measured,3,0.7291076624636276,0.49719416386083054
drug,measured,4,0.4411457915429672,0.510863804981452
drug,tuned_E,0,0.4809612163187428,0.452020202020202
drug,tuned_E,1,0.6040227900552486,0.40737514518002327
drug,tuned_E,2,0.4497899347456869,0.49709639953542395
drug,tuned_E,3,0.6389350145489816,0.5244107744107744
drug,tuned_E,4,0.4763132204659124,0.5241123476417594
drug,chemberta_meta,0,0.47710763729783734,0.39786756453423117
drug,chemberta_meta,1,0.44367230662983426,0.436411149825784
drug,chemberta_meta,2,0.3895473913173028,0.45789779326364694
drug,chemberta_meta,3,0.6778680892337536,0.41245791245791247
drug,chemberta_meta,4,0.3473414640669716,0.4636989931107578
