split,variant,n_resamples,profile_auroc,profile_sd,drug_auroc,drug_sd
test,structure,3,0.9957282626494187,0.0013034444160972072,0.9884878100042035,0.003793297818183719
test,measured,3,0.7637219584083837,0.008858704408859996,0.5978667507356032,0.006423713986494263
test,frozen_pred,3,0.8657783417935704,0.07656051930189028,0.7395544346364017,0.10582961171949046
test,chemberta_frozen,3,0.9939713989411058,0.0005902576907177042,0.9855243799915931,0.0008592682260091937
test,cell_dose_only,3,0.5398402106871897,0.009050678386705995,0.54656368221942,0.018005447430582865
test,tuned_E,3,0.9739383767261612,0.0023234542009968368,0.9339743589743591,0.007377737747031793
test,chemberta_ft,3,0.9956382020632062,0.0008481756271525952,0.9907891971416561,0.0021735823974240874
test,chemberta_meta,3,0.9964391954587631,0.0008507358852423048,0.9920975199663724,0.002445551852997853
drug,structure,10,0.5051631991995957,0.12338093577265982,0.574536667462619,0.0448743293150122
drug,measured,10,0.4742323440719815,0.10510943764913833,0.4644018482679508,0.037205015880068915
drug,frozen_pred,10,0.6015689627620863,0.12697200360048733,0.5205574210132042,0.07494249769982954
drug,chemberta_frozen,10,0.42063960900894826,0.13542882544488546,0.570399453082453,0.058185967760226553
drug,cell_dose_only,10,0.47849707791979723,0.041050997892476966,0.5078333663141452,0.05950526452911465
drug,tuned_E,10,0.6339169285812839,0.10487888068061822,0.6004300517480572,0.05046763547390769
drug,chemberta_ft,10,0.49986499343577667,0.11367580027468661,0.5967552881342442,0.037115977891598366
drug,chemberta_meta,10,0.5288338695205448,0.07501859400588361,0.6028307311310366,0.046016971420298994
scaffold,structure,10,0.4940140892779182,0.14317107806183002,0.582698659266832,0.06451653446279848
scaffold,measured,10,0.5235745365769686,0.08113437160144324,0.5005976178298155,0.03677940632058616
scaffold,frozen_pred,10,0.5574480200249361,0.16750664038148746,0.5226932661247006,0.0436745800514721
scaffold,chemberta_frozen,10,0.4895409119634614,0.140025420603092,0.5675121019350028,0.0851018715247394
scaffold,cell_dose_only,10,0.5075522150511038,0.042243635056925466,0.5030774054763653,0.05368243820691135
scaffold,tuned_E,10,0.6507069440144528,0.11756063443580113,0.5987221451334819,0.04595361607013468
scaffold,chemberta_ft,10,0.5024461747972125,0.10435233900712101,0.5820718053593512,0.054740108132194105
scaffold,chemberta_meta,10,0.5294642382464596,0.10431400550731443,0.5747911625188504,0.0402259520339194
