split,variant,resample,profile_auroc,drug_auroc
test,structure,0,0.9943650728672017,0.9848675914249684
test,structure,1,0.9974844440805634,0.9937263556116016
test,structure,2,0.9953352710004912,0.9868694829760405
test,measured,0,0.751244473554937,0.6005989911727617
test,measured,1,0.7709349926314066,0.6040037831021438
test,measured,2,0.7689864090388079,0.5889974779319042
test,frozen_pred,0,0.7576387751760276,0.5901324085750315
test,frozen_pred,1,0.9245005731128214,0.8216582597730139
test,frozen_pred,2,0.9151956770918617,0.8068726355611601
test,chemberta_frozen,0,0.9931472081218274,0.9843158890290038
test,chemberta_frozen,1,0.9944981169150157,0.9860182849936948
test,chemberta_frozen,2,0.9942688717864745,0.9862389659520806
test,cell_dose_only,0,0.5327472572457836,0.5252206809583859
test,cell_dose_only,1,0.5341595709841167,0.5452080706179068
test,cell_dose_only,2,0.5526138038316686,0.5692622950819671
test,tuned_E,0,0.9755894874733912,0.9405737704918032
test,tuned_E,1,0.9755731128213525,0.9376733921815888
test,tuned_E,2,0.97065252988374,0.9236759142496849
test,chemberta_ft,0,0.9944387588013754,0.9877206809583858
test,chemberta_ft,1,0.9962481578516457,0.9921658259773014
test,chemberta_ft,2,0.9962276895365973,0.9924810844892812
test,chemberta_meta,0,0.9956054527591288,0.9904476670870113
test,chemberta_meta,1,0.997607253970853,0.9955548549810845
test,chemberta_meta,2,0.9961048796463076,0.9902900378310214
drug,structure,0,0.4831061410418879,0.5097222222222222
drug,structure,1,0.5633368592141585,0.604978354978355
drug,structure,2,0.5561334014822388,0.6006981740064447
drug,structure,3,0.24883049435110363,0.5943775100401606
drug,structure,4,0.6007120861137679,0.6413237924865832
drug,structure,5,0.36900165471594043,0.508888888888889
drug,structure,6,0.4649571789680194,0.5342312008978675
drug,structure,7,0.6071717008560814,0.5384394721744119
drug,structure,8,0.7004375408385236,0.5961298377028716
drug,structure,9,0.4579449344142364,0.6165772212283841
drug,measured,0,0.46915779018392306,0.41694444444444445
drug,measured,1,0.539679058847811,0.4412878787878788
drug,measured,2,0.49632634807053416,0.4419978517722879
drug,measured,3,0.7093444179601962,0.4437751004016064
drug,measured,4,0.3840897405419152,0.44126416219439474
drug,measured,5,0.37518208946780374,0.4333333333333333
drug,measured,6,0.4702202044845756,0.5151515151515151
drug,measured,7,0.544930813546546,0.53184165232358
drug,measured,8,0.44161021645451315,0.4775280898876405
drug,measured,9,0.31178276116199777,0.5008944543828264
drug,frozen_pred,0,0.5137000376751036,0.47333333333333333
drug,frozen_pred,1,0.5634142565981269,0.5570887445887446
drug,frozen_pred,2,0.663646818297981,0.588077336197637
drug,frozen_pred,3,0.8606670154835959,0.49655765920826156
drug,frozen_pred,4,0.5197509910049372,0.5068574836016696
drug,frozen_pred,5,0.5968857397428826,0.6622222222222223
drug,frozen_pred,6,0.5169837896298906,0.4845679012345679
drug,frozen_pred,7,0.40758089700102296,0.3749282845668388
drug,frozen_pred,8,0.5995880995508797,0.5783395755305867
drug,frozen_pred,9,0.7734719826364426,0.4836016696481813
drug,chemberta_frozen,0,0.3801931705312189,0.4691666666666667
drug,chemberta_frozen,1,0.5054178168777895,0.637987012987013
drug,chemberta_frozen,2,0.4635637618195758,0.665950590762621
drug,chemberta_frozen,3,0.2286165533011647,0.5355708548479633
drug,chemberta_frozen,4,0.5096833759958425,0.6162790697674418
drug,chemberta_frozen,5,0.3583308583308583,0.5325
drug,chemberta_frozen,6,0.5236427430612323,0.5791245791245792
drug,chemberta_frozen,7,0.5762262423948743,0.5304073436603557
drug,chemberta_frozen,8,0.5213352853113653,0.6101747815230961
drug,chemberta_frozen,9,0.1393862824655604,0.5268336314847942
drug,cell_dose_only,0,0.5242490666849334,0.47097222222222224
drug,cell_dose_only,1,0.5593895926317691,0.6034902597402597
drug,cell_dose_only,2,0.4278335037055967,0.4227980665950591
drug,cell_dose_only,3,0.43539716683138574,0.5711417096959265
drug,cell_dose_only,4,0.45016502927403707,0.5008944543828265
drug,cell_dose_only,5,0.4492447706733421,0.5609722222222222
drug,cell_dose_only,6,0.47754882603719956,0.44163860830527496
drug,cell_dose_only,7,0.5222567705809509,0.5534997131382674
