config,split,score,selection,feature,n_resamples,auroc_mean,auroc_sd,profile_auroc_mean,profile_auroc_sd,drug_auroc_mean,drug_auroc_sd,permute
C0,profile,profile,test,measured,3,0.780840974837618,0.003553754707689226,0.780840974837618,0.003553754707689226,0.6134825556956705,0.011632350837967272,False
custom,profile,drug,test,measured,3,0.6134825556956705,0.011632350837967272,0.780840974837618,0.003553754707689226,0.6134825556956705,0.011632350837967272,False
custom,profile,profile,honest,measured,3,0.7702936520932265,0.01238527593751746,0.7702936520932265,0.01238527593751746,0.5846574190836487,0.015524581690571835,False
custom,profile,drug,honest,measured,3,0.5846574190836487,0.015524581690571835,0.7702936520932265,0.01238527593751746,0.5846574190836487,0.015524581690571835,False
C1,drug,profile,test,measured,10,0.5960828433616572,0.0709223751463464,0.5960828433616572,0.0709223751463464,0.5283352672673207,0.043056006221199976,False
custom,drug,drug,test,measured,10,0.5283352672673207,0.043056006221199976,0.5960828433616572,0.0709223751463464,0.5283352672673207,0.043056006221199976,False
C2,drug,profile,honest,measured,10,0.537901036247884,0.07959548442110893,0.537901036247884,0.07959548442110893,0.5075045549058281,0.03289284906207129,False
C3,drug,drug,honest,measured,10,0.5075045549058281,0.03289284906207129,0.537901036247884,0.07959548442110893,0.5075045549058281,0.03289284906207129,False
custom,scaffold,profile,test,measured,10,0.5587956246763224,0.04446766783595879,0.5587956246763224,0.04446766783595879,0.5363030317370056,0.06100263400019939,False
custom,scaffold,drug,test,measured,10,0.5363030317370056,0.06100263400019939,0.5587956246763224,0.04446766783595879,0.5363030317370056,0.06100263400019939,False
custom,scaffold,profile,honest,measured,10,0.49942626837778903,0.05759742045637762,0.49942626837778903,0.05759742045637762,0.4881952341213706,0.034777005299443116,False
C4,scaffold,drug,honest,measured,10,0.4881952341213706,0.034777005299443116,0.49942626837778903,0.05759742045637762,0.4881952341213706,0.034777005299443116,False
