split,selection,feature,resample,profile_auroc,drug_auroc
profile,test,measured,0,0.7858625347961357,0.6287831021437579
profile,test,measured,1,0.7785082691992795,0.6005989911727617
profile,test,measured,2,0.7781521205174389,0.6110655737704918
profile,honest,measured,0,0.7840469952513509,0.6024590163934427
profile,honest,measured,1,0.7728098902898314,0.5868852459016394
profile,honest,measured,2,0.7540240707384969,0.5646279949558638
drug,test,measured,0,0.5540637736753775,0.5013888888888888
drug,test,measured,1,0.6072147261422564,0.5265151515151515
drug,test,measured,2,0.6033925376948632,0.5904940923737916
drug,test,measured,3,0.745433405034591,0.5559380378657487
drug,test,measured,4,0.5144214023894691,0.4973166368515206
drug,test,measured,5,0.5226144511858798,0.4905555555555556
drug,test,measured,6,0.5091615629362274,0.515712682379349
drug,test,measured,7,0.6199994615840198,0.5926563396442914
drug,test,measured,8,0.6140459707368717,0.5589887640449438
drug,test,measured,9,0.6704811422370158,0.4537865235539654
drug,honest,measured,0,0.5458009384525808,0.49805555555555553
drug,honest,measured,1,0.5524560769845979,0.4945887445887446
drug,honest,measured,2,0.5155379504216713,0.5225563909774437
drug,honest,measured,3,0.7032304323392051,0.48852553069420546
drug,honest,measured,4,0.471231831576154,0.468097793679189
drug,honest,measured,5,0.42414470985899555,0.4552777777777778
drug,honest,measured,6,0.47467208269929706,0.5367564534231201
drug,honest,measured,7,0.5682778764873742,0.5358577165806082
drug,honest,measured,8,0.48503345657262437,0.5043695380774033
drug,honest,measured,9,0.63862500708634,0.5709600477042337
scaffold,test,measured,0,0.48523232822540785,0.540796963946869
scaffold,test,measured,1,0.5846054973304331,0.48842894393741854
scaffold,test,measured,2,0.5982838039442019,0.5871040723981901
scaffold,test,measured,3,0.5785635259319469,0.5689655172413793
scaffold,test,measured,4,0.5802078943671864,0.5912280701754385
scaffold,test,measured,5,0.6151418060994422,0.6614232209737828
scaffold,test,measured,6,0.5452092943451261,0.46572521329802885
scaffold,test,measured,7,0.5542678440029434,0.4919254658385094
scaffold,test,measured,8,0.5750705895490245,0.4908011009705925
scaffold,test,measured,9,0.47137366296751004,0.47663174858984686
scaffold,honest,measured,0,0.44655215027187345,0.48425047438330177
scaffold,honest,measured,1,0.4776657218816601,0.5052151238591917
scaffold,honest,measured,2,0.5392405614661715,0.42345399698340874
scaffold,honest,measured,3,0.5554031475084107,0.50519978106185
scaffold,honest,measured,4,0.5641788016419285,0.5536842105263158
scaffold,honest,measured,5,0.5504212649816067,0.46891385767790267
scaffold,honest,measured,6,0.42747784311008163,0.49132097675786995
scaffold,honest,measured,7,0.5409237561555442,0.5217391304347826
scaffold,honest,measured,8,0.500184516561292,0.4773286976676807
scaffold,honest,measured,9,0.39221492019932114,0.45084609186140207
