split,selection,feature,resample,profile_auroc,drug_auroc
drug,honest,measured,0,0.4747038453159859,0.45875420875420875
drug,honest,measured,1,0.505301853130755,0.5174216027874565
drug,honest,measured,2,0.546443788921665,0.4671893147502903
drug,honest,measured,3,0.7690960232783705,0.48204264870931535
drug,honest,measured,4,0.5008525234694696,0.48251192368839435
drug,honest,measured,5,0.46556622649059626,0.44625307125307123
drug,honest,measured,6,0.4982215536041237,0.5539654144305307
drug,honest,measured,7,0.5832019519519519,0.5989862850327966
drug,honest,measured,8,0.5653494089173755,0.5168350168350168
drug,honest,measured,9,0.6976806626058375,0.4534883720930233
scaffold,honest,measured,0,0.5466155810983397,0.5518303113239822
scaffold,honest,measured,1,0.5761480901843792,0.5136662085814628
scaffold,honest,measured,2,0.522764999540596,0.46355685131195334
scaffold,honest,measured,3,0.5272359817713493,0.43645569620253166
scaffold,honest,measured,4,0.5784740019190361,0.556439393939394
scaffold,honest,measured,5,0.5544300287380468,0.5893437296946068
scaffold,honest,measured,6,0.4920383906307243,0.4746759119686464
scaffold,honest,measured,7,0.6015859994531036,0.6175675675675676
scaffold,honest,measured,8,0.6649626069343653,0.5546822742474917
scaffold,honest,measured,9,0.5731206837993886,0.540045766590389
