split,selection,feature,resample,profile_auroc,drug_auroc
drug,honest,measured,0,0.4747038453159859,0.45875420875420875
drug,honest,measured,1,0.505301853130755,0.5174216027874565
drug,honest,measured,2,0.546443788921665,0.4671893147502903
drug,honest,measured,3,0.7690960232783705,0.48204264870931535
drug,honest,measured,4,0.5008525234694696,0.48251192368839435
drug,honest,measured,5,0.46556622649059626,0.44625307125307123
drug,honest,measured,6,0.4982215536041237,0.5539654144305307
drug,honest,measured,7,0.5832019519519519,0.5989862850327966
drug,honest,measured,8,0.5653494089173755,0.5168350168350168
drug,honest,measured,9,0.6976806626058375,0.4534883720930233
